SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35383,OPTIDX,0,BANKNIFTY-Jun2024-63500-PE,15,BANKNIFTY 19 JUN 63500 PUT,19-06-2024 14:30,63500,PE,5,W,OP,,
NSE,D,35384,OPTIDX,0,BANKNIFTY-Jun2024-64000-CE,15,BANKNIFTY 19 JUN 64000 CALL,19-06-2024 14:30,64000,CE,5,W,OP,,
NSE,D,35386,OPTIDX,0,BANKNIFTY-Jun2024-64000-PE,15,BANKNIFTY 19 JUN 64000 PUT,19-06-2024 14:30,64000,PE,5,W,OP,,
NSE,D,35437,OPTIDX,0,BANKNIFTY-Jun2024-35000-CE,15,BANKNIFTY 19 JUN 35000 CALL,19-06-2024 14:30,35000,CE,5,W,OP,,
NSE,D,35438,OPTIDX,0,BANKNIFTY-Jun2024-35000-PE,15,BANKNIFTY 19 JUN 35000 PUT,19-06-2024 14:30,35000,PE,5,W,OP,,
NSE,D,35439,OPTIDX,0,BANKNIFTY-Jun2024-35500-CE,15,BANKNIFTY 19 JUN 35500 CALL,19-06-2024 14:30,35500,CE,5,W,OP,,
NSE,D,35442,OPTIDX,0,BANKNIFTY-Jun2024-35500-PE,15,BANKNIFTY 19 JUN 35500 PUT,19-06-2024 14:30,35500,PE,5,W,OP,,
NSE,D,35443,OPTIDX,0,BANKNIFTY-Jun2024-36000-CE,15,BANKNIFTY 19 JUN 36000 CALL,19-06-2024 14:30,36000,CE,5,W,OP,,
NSE,D,35444,OPTIDX,0,BANKNIFTY-Jun2024-36000-PE,15,BANKNIFTY 19 JUN 36000 PUT,19-06-2024 14:30,36000,PE,5,W,OP,,
NSE,D,35445,OPTIDX,0,BANKNIFTY-Jun2024-36500-CE,15,BANKNIFTY 19 JUN 36500 CALL,19-06-2024 14:30,36500,CE,5,W,OP,,
NSE,D,35452,OPTIDX,0,BANKNIFTY-Jun2024-36500-PE,15,BANKNIFTY 19 JUN 36500 PUT,19-06-2024 14:30,36500,PE,5,W,OP,,
NSE,D,36943,OPTIDX,0,BANKNIFTY-Jun2024-58100-CE,15,BANKNIFTY 19 JUN 58100 CALL,19-06-2024 14:30,58100,CE,5,W,OP,,
NSE,D,37236,OPTIDX,0,BANKNIFTY-Jun2024-26500-CE,15,BANKNIFTY 19 JUN 26500 CALL,19-06-2024 14:30,26500,CE,5,W,OP,,
NSE,D,37259,OPTIDX,0,BANKNIFTY-Jun2024-26500-PE,15,BANKNIFTY 19 JUN 26500 PUT,19-06-2024 14:30,26500,PE,5,W,OP,,
NSE,D,37260,OPTIDX,0,BANKNIFTY-Jun2024-27000-CE,15,BANKNIFTY 19 JUN 27000 CALL,19-06-2024 14:30,27000,CE,5,W,OP,,
NSE,D,37269,OPTIDX,0,BANKNIFTY-Jun2024-27000-PE,15,BANKNIFTY 19 JUN 27000 PUT,19-06-2024 14:30,27000,PE,5,W,OP,,
NSE,D,37283,OPTIDX,0,BANKNIFTY-Jun2024-27500-CE,15,BANKNIFTY 19 JUN 27500 CALL,19-06-2024 14:30,27500,CE,5,W,OP,,
NSE,D,37284,OPTIDX,0,BANKNIFTY-Jun2024-27500-PE,15,BANKNIFTY 19 JUN 27500 PUT,19-06-2024 14:30,27500,PE,5,W,OP,,
